transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Koide,16,Pair 16,3,914,732,-2.164156675,5.712397099,0.787677705,1018.514481,763.2960896,109.0995968
2k_Koide,16,Pair 16,4,868,730,-2.721180201,5.901352406,0.861826003,812.5000035,741.1628732,56.61147721
2k_Koide,17,Pair 17,1,2780,1010,1.578719497,4.393350124,0.145358473,2828.636119,1025.991195,51.19756274
2k_Koide,17,Pair 17,2,3450,871,2.242145061,3.485551357,0.355745584,3525.85297,866.5100053,75.98574239
2k_Koide,18,Pair 18,1,432,1186,-1.764425516,2.69074893,-0.06229718,390.7183242,1184.516563,41.30832047
2k_Koide,18,Pair 18,2,626,1640,-1.432673693,2.50632,-0.529504359,591.9887776,1631.7242,35.00360147
2k_Koide,18,Pair 18,3,828,1588,-1.266008019,2.653071642,-0.513295233,811.1057565,1588.087524,16.89447019
2k_Koide,18,Pair 18,4,2086,454,0.243618459,3.968923092,1.05041182,2090.819053,475.4417015,21.97657472
2k_Koide,18,Pair 18,5,2836,965,3.177153349,8.163993835,0.420374274,2925.530933,960.9866977,89.62083819
2k_Koide,19,Pair 19,1,1590,790,-0.997787118,8.747796059,0.986580312,1665.218099,813.7484141,78.87806774
2k_Koide,20,Pair 20,1,1316,1115,-0.661009669,2.466170073,-0.004089604,1318.144375,1137.304045,22.40689089
2k_Koide,20,Pair 20,2,2084,1135,0.163499698,2.667270422,-0.04203181,2085.13375,1165.174579,30.19587038
2k_Koide,20,Pair 20,3,934,1246,-1.413321733,3.329986095,-0.204824403,927.6102448,1265.441664,20.46478095
2k_Koide,20,Pair 20,4,1080,1015,-1.362742543,3.793680668,0.132839695,1081.786596,1029.050765,14.16389528
2k_Koide,21,Pair 21,1,2018,593,0.389567763,9.859386444,1.928168058,2041.809563,605.828638,27.04568809
2k_Koide,21,Pair 21,2,1086,1139,-1.334685564,3.666197538,-0.063174397,1071.034474,1155.355937,22.1694305
2k_Koide,21,Pair 21,3,390,923,-1.77546382,2.656670332,0.204990715,363.9220961,948.8661188,36.73027596
2k_Koide,21,Pair 21,4,2164,1177,0.264250576,2.615741014,-0.090596564,2178.356578,1210.470995,36.42003301
2k_Koide,22,Pair 22,1,2766,1411,1.230587959,3.429121733,-0.423061788,2819.041242,1417.132517,53.39457987
2k_Koide,22,Pair 22,2,1514,974,-0.580147922,4.127464294,0.160920829,1607.622378,1015.958198,102.5945423
2k_Koide,23,Pair 23,1,2798,1443,1.428974986,3.823756218,-0.519676387,2862.292596,1445.388979,64.33696586
2k_Koide,23,Pair 23,2,1426,1096,-0.601715386,2.71462822,-0.003285409,1423.825256,1130.653974,34.72214555
2k_Koide,23,Pair 23,3,2206,1034,0.3785097,3.449705839,0.093907297,2203.671271,1051.341452,17.4971126
2k_Koide,23,Pair 23,4,620,1556,-1.589001894,2.807316065,-0.519154429,595.4595889,1566.609052,26.73544029
2k_Koide,24,Pair 24,1,2618,518,2.043557882,7.112775803,1.659160376,2661.623314,513.1329668,43.89398075
2k_Koide,24,Pair 24,2,2058,653,0.337926328,6.431075096,1.134203911,2072.000703,666.3519444,19.34668201
2k_Koide,24,Pair 24,3,1300,1010,-1.193648458,4.378315926,0.114345171,1288.233969,1044.410308,36.36631342
2k_Koide,25,Pair 25,1,1280,1357,-0.67865169,2.364202976,-0.240769699,1273.697553,1372.589244,16.81503369
2k_Koide,25,Pair 25,2,828,1561,-1.431928158,3.033917904,-0.557584167,814.6498085,1561.645477,13.3657867
2k_Koide,25,Pair 25,3,582,970,-1.84900701,3.170248985,0.200664908,546.999661,970.4215685,35.00287776
2k_Koide,26,Pair 26,1,3492,1678,1.418410897,2.184612513,-0.457301497,3489.487152,1639.501655,38.58026688
2k_Koide,26,Pair 26,2,2318,1306,0.499326915,2.906659126,-0.260213494,2350.215806,1336.086856,44.08034794
2k_Koide,26,Pair 26,3,2036,1068,0.122553989,3.502087831,-0.188121364,2025.822117,1242.31806,174.6149345
2k_Koide,29,Pair 29,1,2374,1293,0.913406491,6.288268089,-0.554604769,2300.11043,1311.045624,76.06124525
2k_Koide,30,Pair 30,1,370,873,-4.500569344,5.266636372,0.565169275,-67.76465849,848.905221,438.4272512
2k_Koide,30,Pair 30,2,1768,1036,-0.635668516,7.657513618,0.059359528,1741.893876,1072.280314,44.69665406
2k_Koide,30,Pair 30,3,932,1250,-3.222494602,7.236100197,-0.526938558,845.2053901,1272.676287,89.70796106
2k_Koide,31,Pair 31,1,1060,1451,-2.451100588,6.547836781,-1.012145281,1023.695056,1474.764063,43.39100897
2k_Koide,31,Pair 31,2,1734,1606,-0.620961785,7.471808434,-1.661425352,1740.435423,1636.921428,31.5840054
2k_Koide,32,Pair 32,1,1628,1488,-0.831801713,7.01644516,-1.195568919,1654.474002,1508.723608,33.62053986
2k_Koide,32,Pair 32,2,2056,1835,0.388932377,6.341479301,-1.976750374,2096.943183,1864.839555,50.66303708
2k_Koide,36,Pair 36,1,628,1250,-2.160076618,3.936044693,-0.251130134,614.3896511,1266.114155,21.09283274
2k_Koide,36,Pair 36,2,2096,1511,0.725066602,9.195584297,-1.686050415,2140.124476,1539.972738,52.78625697
2k_Koide,37,Pair 37,1,482,1668,-5.078583717,8.125874519,-2.047044754,399.485595,1712.247453,93.62939796
2k_Koide,37,Pair 37,2,1704,1128,-0.364478946,3.786136389,-0.023307888,1714.049938,1126.48759,10.16310187
2k_Koide,37,Pair 37,3,2038,1147,0.209737122,3.98927331,-0.081072763,2068.620074,1158.235971,32.61649878
2k_Koide,39,Pair 39,1,1798,1117,-0.554783821,9.764578819,-0.192815453,1805.187428,1134.725951,19.1276885
2k_Koide,39,Pair 39,2,1000,460,-1.55228436,3.746417522,0.976319849,944.2401238,487.3750434,62.1172826
2k_Koide,40,Pair 40,1,1668,417,-0.454003364,2.865203857,1.063067675,1566.462174,248.5943027,196.6479317
2k_Koide,41,Pair 41,1,1432,1683,-0.629106939,2.895113468,-0.693336129,1427.50579,1691.430126,9.553268942
2k_Koide,42,Pair 42,1,1472,1999,-0.634747803,3.261282206,-1.232457399,1474.74247,2028.026453,29.15572166
2k_Koide,43,Pair 43,1,1828,850,-0.365855366,8.363074303,0.77884239,1837.20057,862.6818523,15.6677971
2k_Koide,43,Pair 43,2,782,1087,-1.758696198,3.606682301,0.023494866,769.6275314,1099.777963,17.78635214
2k_Manual_50pts,1,Pair 1,1,582,940,-1.755182266,2.979001284,0.215976402,559.4401841,935.4781769,23.00852407
2k_Manual_50pts,2,Pair 2,1,2184,1554,0.339720845,2.979321241,-0.568287313,2204.191296,1573.540725,28.09854728
2k_Manual_50pts,2,Pair 2,2,2700,1659,0.839911044,2.547699451,-0.560356319,2711.800826,1661.703736,12.10659635
