transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_manual_50_wD,16,Pair 16,1,2582,965,1.273590088,4.436022758,0.227860391,2612.431998,977.417233,32.86782862
2k_manual_50_wD,16,Pair 16,2,866,661,-2.702931881,5.861323357,1.04803896,833.8945928,649.2612382,34.18414398
2k_manual_50_wD,16,Pair 16,3,914,732,-2.164156675,5.712397099,0.787677705,1035.405859,750.8858156,122.8660112
2k_manual_50_wD,16,Pair 16,4,868,730,-2.721180201,5.901352406,0.861826003,834.2008065,727.3954752,33.89939576
2k_manual_50_wD,17,Pair 17,1,2780,1010,1.578719497,4.393350124,0.145358473,2788.472497,1021.674518,14.42489458
2k_manual_50_wD,17,Pair 17,2,3450,871,2.242145061,3.485551357,0.355745584,3454.351785,877.3217573,7.674805919
2k_manual_50_wD,18,Pair 18,1,432,1186,-1.764425516,2.69074893,-0.06229718,448.4292515,1174.35281,20.13895104
2k_manual_50_wD,18,Pair 18,2,626,1640,-1.432673693,2.50632,-0.529504359,643.3182564,1598.805845,44.68646798
2k_manual_50_wD,18,Pair 18,3,828,1588,-1.266008019,2.653071642,-0.513295233,849.1543052,1557.853216,36.82842964
2k_manual_50_wD,18,Pair 18,4,2086,454,0.243618459,3.968923092,1.05041182,2075.922252,487.993579,35.45595033
2k_manual_50_wD,18,Pair 18,5,2836,965,3.177153349,8.163993835,0.420374274,2905.751216,946.7946231,72.08791782
2k_manual_50_wD,19,Pair 19,1,1590,790,-0.997787118,8.747796059,0.986580312,1668.011587,794.97532,78.17008084
2k_manual_50_wD,20,Pair 20,1,1316,1115,-0.661009669,2.466170073,-0.004089604,1329.18019,1136.798015,25.47294407
2k_manual_50_wD,20,Pair 20,2,2084,1135,0.163499698,2.667270422,-0.04203181,2056.130563,1164.599263,40.65491212
2k_manual_50_wD,20,Pair 20,3,934,1246,-1.413321733,3.329986095,-0.204824403,954.8822713,1248.628585,21.04705955
2k_manual_50_wD,20,Pair 20,4,1080,1015,-1.362742543,3.793680668,0.132839695,1100.739493,1019.700819,21.26556524
2k_manual_50_wD,21,Pair 21,1,2018,593,0.389567763,9.859386444,1.928168058,2041.201336,589.1150496,23.52434561
2k_manual_50_wD,21,Pair 21,2,1086,1139,-1.334685564,3.666197538,-0.063174397,1090.763567,1141.883912,5.568528864
2k_manual_50_wD,21,Pair 21,3,390,923,-1.77546382,2.656670332,0.204990715,422.6349275,950.9742767,42.98370217
2k_manual_50_wD,21,Pair 21,4,2164,1177,0.264250576,2.615741014,-0.090596564,2143.491262,1208.494064,37.58303342
2k_manual_50_wD,22,Pair 22,1,2766,1411,1.230587959,3.429121733,-0.423061788,2763.263637,1402.424087,9.001886725
2k_manual_50_wD,22,Pair 22,2,1514,974,-0.580147922,4.127464294,0.160920829,1607.13285,1007.579134,99.00144483
2k_manual_50_wD,23,Pair 23,1,2798,1443,1.428974986,3.823756218,-0.519676387,2810.180369,1428.246339,19.13195994
2k_manual_50_wD,23,Pair 23,2,1426,1096,-0.601715386,2.71462822,-0.003285409,1429.072861,1128.051285,32.19825034
2k_manual_50_wD,23,Pair 23,3,2206,1034,0.3785097,3.449705839,0.093907297,2177.617321,1049.322913,32.25473835
2k_manual_50_wD,23,Pair 23,4,620,1556,-1.589001894,2.807316065,-0.519154429,642.6554748,1536.164998,30.11142357
2k_manual_50_wD,24,Pair 24,1,2618,518,2.043557882,7.112775803,1.659160376,2647.130399,507.3687173,31.00974585
2k_manual_50_wD,24,Pair 24,2,2058,653,0.337926328,6.431075096,1.134203911,2065.502257,658.0016674,9.016680862
2k_manual_50_wD,24,Pair 24,3,1300,1010,-1.193648458,4.378315926,0.114345171,1298.661785,1032.037837,22.07843059
2k_manual_50_wD,25,Pair 25,1,1280,1357,-0.67865169,2.364202976,-0.240769699,1287.171993,1359.332226,7.541667767
2k_manual_50_wD,25,Pair 25,2,828,1561,-1.431928158,3.033917904,-0.557584167,849.1955352,1531.431682,36.38043602
2k_manual_50_wD,25,Pair 25,3,582,970,-1.84900701,3.170248985,0.200664908,591.5885724,966.1163217,10.34522492
2k_manual_50_wD,26,Pair 26,1,3492,1678,1.418410897,2.184612513,-0.457301497,3369.232804,1625.037789,133.7040773
2k_manual_50_wD,26,Pair 26,2,2318,1306,0.499326915,2.906659126,-0.260213494,2309.506764,1325.882898,21.62093203
2k_manual_50_wD,26,Pair 26,3,2036,1068,0.122553989,3.502087831,-0.188121364,2006.338377,1231.213477,165.8868615
2k_manual_50_wD,29,Pair 29,1,2374,1293,0.913406491,6.288268089,-0.554604769,2283.824104,1290.043148,90.22436005
2k_manual_50_wD,30,Pair 30,1,370,873,-4.500569344,5.266636372,0.565169275,-30.97006889,830.1513744,403.2530234
2k_manual_50_wD,30,Pair 30,2,1768,1036,-0.635668516,7.657513618,0.059359528,1741.706653,1051.627225,30.58676578
2k_manual_50_wD,30,Pair 30,3,932,1250,-3.222494602,7.236100197,-0.526938558,864.3305885,1243.399874,67.99052075
2k_manual_50_wD,31,Pair 31,1,1060,1451,-2.451100588,6.547836781,-1.012145281,1039.496864,1442.099942,22.35150163
