1,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Koide,8,Pair 8,3,647,661,-1.191316247,4.225700378,-0.398281366,632.5690625,667.2375426,15.72128795
2k_Koide,8,Pair 8,4,805,672,-0.582899034,4.288036346,-0.433390558,808.7427199,674.4405063,4.468111843
2k_Koide,9,Pair 9,1,677,545,-1.020405769,4.015432835,0.008444885,667.6235539,552.529701,12.02556193
2k_Koide,9,Pair 9,2,491,535,-1.584828973,3.82520628,0.053966731,473.2086868,539.417493,18.33153217
2k_Koide,9,Pair 9,3,479,673,-1.587715626,3.783632994,-0.366909027,466.0985368,673.1196756,12.90201828
2k_Koide,9,Pair 9,4,671,678,-1.038771152,4.012162685,-0.406148463,661.1437849,676.1637236,10.02581108
2k_Koide,10,Pair 10,1,510,538,-1.393873453,3.538686991,0.055015773,500.0101916,539.3580875,10.08169998
2k_Koide,10,Pair 10,2,301,526,-1.995245218,3.454949141,0.100693762,277.1178675,523.8068691,23.98262033
2k_Koide,10,Pair 10,3,286,680,-2.010130644,3.412713528,-0.337880194,263.2817616,677.7649681,22.82791548
2k_Koide,10,Pair 10,4,498,687,-1.426668763,3.52849865,-0.377753794,486.356081,686.1716836,11.67334391
2k_Koide,11,Pair 11,1,1338,826,1.173133373,3.666062593,-0.793741107,1363.828378,821.334015,26.24645716
2k_Koide,11,Pair 11,2,1140,804,0.583477318,3.787935257,-0.781006396,1158.242341,804.8695628,18.2630538
2k_Koide,11,Pair 11,3,1131,947,0.563111663,3.766828537,-1.215848684,1154.424525,948.8069844,23.49411798
2k_Koide,11,Pair 11,4,1330,973,1.157888412,3.618514299,-1.222074389,1365.793882,971.5037927,35.82513997
2k_Koide,12,Pair 12,1,1124,744,0.719046295,4.959563732,-0.805146515,1148.902579,748.6513495,25.33324919
2k_Koide,12,Pair 12,2,992,739,0.125852913,4.774870396,-0.772687078,1003.798586,747.0082606,14.25969349
2k_Koide,12,Pair 12,3,986,853,0.103377804,4.724350452,-1.20206964,998.771631,860.9471825,15.04234919
2k_Koide,12,Pair 12,4,1121,853,0.693334997,4.934185505,-1.247586966,1144.62061,860.5964204,24.81207016
2k_Koide,13,Pair 13,1,1329,927,0.840417683,2.665266752,-0.774264157,1351.672816,913.9837211,26.14345194
2k_Koide,13,Pair 13,2,1080,873,0.279837459,2.90625453,-0.75943017,1086.452211,873.1216177,6.453357334
2k_Koide,13,Pair 13,3,1057,1066,0.23549521,2.832612276,-1.180762529,1072.030364,1063.727088,15.20124934
2k_Koide,14,Pair 14,1,1477,541,1.214520335,2.824749708,0.063695192,1491.608419,536.3368902,15.33461737
